root_pos_x  , root_pos_y  , root_pos_z, root_pos_d_x, root_pos_d_y, root_pos_d_z, root_lin_vel_x, root_lin_vel_y, root_lin_vel_z, root_lin_vel_d_x, root_lin_vel_d_y, root_lin_vel_d_z, root_rpy_x  , root_rpy_y  , root_rpy_z  , root_rpy_d_x, root_rpy_d_y, root_rpy_d_z, root_ang_vel_x, root_ang_vel_y, root_ang_vel_z, root_ang_vel_d_x, root_ang_vel_d_y, root_ang_vel_d_z, foot_pos_FR_x, foot_pos_FR_y, foot_pos_FR_z, foot_pos_FL_x, foot_pos_FL_y, foot_pos_FL_z, foot_pos_RR_x, foot_pos_RR_y, foot_pos_RR_z, foot_pos_RL_x, foot_pos_RL_y, foot_pos_RL_z, foot_pos_abs_FR_x, foot_pos_abs_FR_y, foot_pos_abs_FR_z, foot_pos_abs_FL_x, foot_pos_abs_FL_y, foot_pos_abs_FL_z, foot_pos_abs_RR_x, foot_pos_abs_RR_y, foot_pos_abs_RR_z, foot_pos_abs_RL_x, foot_pos_abs_RL_y, foot_pos_abs_RL_z, foot_pos_liftoff_FR_x, foot_pos_liftoff_FR_y, foot_pos_liftoff_FR_z, foot_pos_liftoff_FL_x, foot_pos_liftoff_FL_y, foot_pos_liftoff_FL_z, foot_pos_liftoff_RR_x, foot_pos_liftoff_RR_y, foot_pos_liftoff_RR_z, foot_pos_liftoff_RL_x, foot_pos_liftoff_RL_y, foot_pos_liftoff_RL_z, foot_pos_d_FR_x, foot_pos_d_FR_y, foot_pos_d_FR_z, foot_pos_d_FL_x, foot_pos_d_FL_y, foot_pos_d_FL_z, foot_pos_d_RR_x, foot_pos_d_RR_y, foot_pos_d_RR_z, foot_pos_d_RL_x, foot_pos_d_RL_y, foot_pos_d_RL_z, foot_vel_d_FR_x, foot_vel_d_FR_y, foot_vel_d_FR_z, foot_vel_d_FL_x, foot_vel_d_FL_y, foot_vel_d_FL_z, foot_vel_d_RR_x, foot_vel_d_RR_y, foot_vel_d_RR_z, foot_vel_d_RL_x, foot_vel_d_RL_y, foot_vel_d_RL_z, foot_forces_grf_FR_x, foot_forces_grf_FR_y, foot_forces_grf_FR_z, foot_forces_grf_FL_x, foot_forces_grf_FL_y, foot_forces_grf_FL_z, foot_forces_grf_RR_x, foot_forces_grf_RR_y, foot_forces_grf_RR_z, foot_forces_grf_RL_x, foot_forces_grf_RL_y, foot_forces_grf_RL_z, foot_forces_swing_FR_x, foot_forces_swing_FR_y, foot_forces_swing_FR_z, foot_forces_swing_FL_x, foot_forces_swing_FL_y, foot_forces_swing_FL_z, foot_forces_swing_RR_x, foot_forces_swing_RR_y, foot_forces_swing_RR_z, foot_forces_swing_RL_x, foot_forces_swing_RL_y, foot_forces_swing_RL_z, joint_torques_FR_hip, joint_torques_FR_thigh, joint_torques_FR_calf, joint_torques_FL_hip, joint_torques_FL_thigh, joint_torques_FL_calf, joint_torques_RR_hip, joint_torques_RR_thigh, joint_torques_RR_calf, joint_torques_RL_hip, joint_torques_RL_thigh, joint_torques_RL_calf, swing_phase, contact_FR, contact_FL, contact_RR, contact_RL, root_pos_est_x, root_pos_est_y, root_pos_est_z, root_lin_vel_est_x, root_lin_vel_est_y, root_lin_vel_est_z, root_lin_acc_est_x, root_lin_acc_est_y, root_lin_acc_est_z, root_rpy_est_x, root_rpy_est_y, root_rpy_est_z, root_lin_acc_meas_x, root_lin_acc_meas_y, root_lin_acc_meas_z, root_ang_vel_meas_x, root_ang_vel_meas_y, root_ang_vel_meas_z, FR_contact_meas, FL_contact_meas, RR_contact_meas, RL_contact_meas
0           , 0           ,  0.0595703,            0,            0,         0   , 0             , 0             , 0             ,                0,                0,                0, 0           , 0           , 0           ,            0,            0,            0, 0             , 0             , 0             ,                0,                0,                0,      0.201666, -0.143057    , -0.0406244   ,      0.201666,      0.143057, -0.0406244   , -0.174534    , -0.143057    , -0.0406244   , -0.174534    ,      0.143057, -0.0406244   ,          0.201666, -0.143057        , 0.0189459        ,          0.201666,          0.143057, 0.0189459        , -0.174534        , -0.143057        , 0.0189459        , -0.174534        ,          0.143057, 0.0189459        ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0        , 0                     ,              0       , 0                   , 0                     ,              0       ,             0       , 0                     ,              0       , 0                   , 0                     ,              0       ,           0,          1,          1,          1,          1, 0             , 0             ,      0.0407376, 0                 , 0                 , -0.00150883       , 0                 , 0                 ,            0      , 0             , -0            , 0             , 0                  , 0                  ,             0      , 0                  , 0                  , 0                  ,         0      ,         0      ,         0      ,         0
-3.34108e-06, -3.78385e-09,  0.0595665,            0,            0,         0   , -0.00167054   , -1.89192e-06  , -0.00191484   ,                0,                0,                0, -3.03483e-07, -7.71861e-05, 7.70352e-08 ,            0,            0,            0, -0.00015174   , -0.038593     , 3.85117e-05   ,                0,                0,                0,      0.201665, -0.143057    , -0.040619    ,      0.201665,      0.143057, -0.0406189   , -0.174543    , -0.143058    , -0.0405881   , -0.174543    ,      0.143058, -0.040588    ,          0.201665, -0.143057        , 0.000118599      ,          0.201665,          0.143057, 0.000118743      , -0.174543        , -0.143058        , 0.00014953       , -0.174543        ,          0.143058, 0.000149611      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.0681359, -0.06671              ,              0.150362, -0.0693522          , -0.0670151            ,              0.150909,             0.31193 , -0.247664             ,              0.283719, -0.313543           , -0.247703             ,              0.283584,           0,          1,          1,          1,          1, 4.50444e-06   , -6.1993e-09   ,      0.0406639, 0.000610903       , -4.52583e-06      , -0.007086         , -0.806164         , -0.000902626      ,            8.71851, -1.77661e-08  , 1.58675e-05   , 0             , -0.806164          , -0.000902626       ,             8.71851, 0                  , 0                  , 0                  ,         2.73111,         2.71666,         3.52872,         3.53419
-9.06461e-06, -1.39847e-10,  0.0595635,            0,            0,         0   , -0.00286176   , 1.822e-06     , -0.00149365   ,                0,                0,                0, -7.98407e-07, -0.000196123, 1.92723e-07 ,            0,            0,            0, -0.000247454  , -0.0594687    , 5.78112e-05   ,                0,                0,                0,      0.201663, -0.143056    , -0.0406163   ,      0.201663,      0.143056, -0.040616    , -0.174558    , -0.143063    , -0.0405399   , -0.174558    ,      0.143063, -0.0405397   ,          0.201667, -0.143056        , 4.75725e-05      ,          0.201667,          0.143056, 4.78985e-05      , -0.174554        , -0.143063        , 0.000123933      , -0.174554        ,          0.143063, 0.000124145      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.109161 , -0.10853              ,              0.275857, -0.110918           , -0.109223             ,              0.276547,             0.50068 , -0.389877             ,              0.420198, -0.503153           , -0.390084             ,              0.420098,           0,          1,          1,          1,          1, 1.01817e-05   , -2.61524e-08  ,      0.0406198, 0.00166198        , -6.49239e-06      , -0.00881322       , -0.583533         , 0.00188804        ,            9.96844, -2.85756e-07  , -5.03543e-05  , 7.70254e-08   , -0.583533          , 0.00188804         ,             9.96844, -0.00015174        , -0.038593          , 3.85117e-05        ,         3.48104,         3.47698,         6.26512,         6.26769
-1.65668e-05, 1.93108e-08 ,  0.0595622,            0,            0,         0   , -0.00375111   , 9.7253e-06    , -0.000624631  ,                0,                0,                0, -1.34914e-06, -0.000341778, 3.61272e-07 ,            0,            0,            0, -0.000275342  , -0.0728275    , 8.41964e-05   ,                0,                0,                0,      0.201664, -0.143056    , -0.0405973   ,      0.201664,      0.143056, -0.0405969   , -0.174572    , -0.14307     , -0.0405018   , -0.174572    ,      0.14307 , -0.0405015   ,          0.201674, -0.143056        , 2.25128e-05      ,          0.201674,          0.143056, 2.29576e-05      , -0.174562        , -0.14307         , 0.00011802       , -0.174562        ,          0.14307 , 0.000118317      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.143739 , -0.144335             ,              0.397872, -0.145431           , -0.145376             ,              0.398735,             0.635368, -0.498406             ,              0.546333, -0.638296           , -0.498733             ,              0.546279,           0,          1,          1,          1,          1, 1.93246e-05   , -5.78892e-08  ,      0.0405826, 0.00268544        , -5.13069e-06      , -0.00955669       , -0.436313         , 0.00396834        ,           10.2167 , -7.07724e-07  , -0.000161268  , 1.92678e-07   , -0.436313          , 0.00396834         ,            10.2167 , -0.000247454       , -0.0594687         , 5.78112e-05        ,         3.58742,         3.58126,         6.13307,         6.1351
-2.53762e-05, 4.87728e-08 ,  0.0595629,            0,            0,         0   , -0.00440467   , 1.4731e-05    , 0.000345024   ,                0,                0,                0, -1.96811e-06, -0.000504301, 5.3443e-07  ,            0,            0,            0, -0.000309448  , -0.0812611    , 8.64443e-05   ,                0,                0,                0,      0.201667, -0.143056    , -0.04057     ,      0.201667,      0.143056, -0.0405695   , -0.174586    , -0.143079    , -0.0404702   , -0.174586    ,      0.143079, -0.0404699   ,          0.201687, -0.143056        , 1.26193e-05      ,          0.201686,          0.143056, 1.31409e-05      , -0.174566        , -0.143079        , 0.000112423      , -0.174567        ,          0.143079, 0.000112774      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.175833 , -0.178102             ,              0.517718, -0.177571           , -0.17932              ,              0.518644,             0.736397, -0.584853             ,              0.664934, -0.739541           , -0.585421             ,              0.66493 ,           0,          1,          1,          1,          1, 3.03592e-05   , -8.68751e-08  ,      0.0405484, 0.0036472         , -5.83491e-06      , -0.00983672       , -0.319943         , 0.0025062         ,           10.2817 , -1.21241e-06  , -0.000301033  , 3.61167e-07   , -0.319943          , 0.0025062          ,            10.2817 , -0.000275342       , -0.0728275         , 8.41964e-05        ,         3.63131,         3.62849,         6.08446,         6.08871
-3.50465e-05, 7.37443e-08 ,  0.0595654,            0,            0,         0   , -0.00483516   , 1.24857e-05   , 0.00122477    ,                0,                0,                0, -2.46958e-06, -0.00067766 , 7.22141e-07 ,            0,            0,            0, -0.000250683  , -0.0866795    , 9.3663e-05    ,                0,                0,                0,      0.201672, -0.143056    , -0.0405378   ,      0.201672,      0.143056, -0.0405373   , -0.174599    , -0.143089    , -0.0404443   , -0.174599    ,      0.143089, -0.0404439   ,          0.201702, -0.143056        , 1.05712e-05      ,          0.201702,          0.143056, 1.11053e-05      , -0.174569        , -0.143089        , 0.000104099      , -0.174569        ,          0.143089, 0.000104464      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.20739  , -0.211601             ,              0.635941, -0.208703           , -0.21248              ,              0.636792,             0.816799, -0.657954             ,              0.778273, -0.819839           , -0.658343             ,              0.778239,           0,          1,          1,          1,          1, 4.17989e-05   , -1.05999e-07  ,      0.0405163, 0.00455456        , -1.13201e-05      , -0.00989097       , -0.208538         , -0.00116412       ,           10.2454 , -1.85273e-06  , -0.000459629  , 5.34259e-07   , -0.208538          , -0.00116412        ,            10.2454 , -0.000309448       , -0.0812611         , 8.64443e-05        ,         3.64208,         3.64165,         6.09683,         6.09263
-4.52216e-05, 1.01338e-07 ,  0.0595694,            0,            0,         0   , -0.00508758   , 1.3797e-05    , 0.00201907    ,                0,                0,                0, -3.06587e-06, -0.00085701 , 8.93698e-07 ,            0,            0,            0, -0.000298077  , -0.0896751    , 8.55301e-05   ,                0,                0,                0,      0.201678, -0.143055    , -0.0405031   ,      0.201677,      0.143056, -0.0405026   , -0.174612    , -0.1431      , -0.0404236   , -0.174612    ,      0.1431  , -0.0404233   ,          0.201719, -0.143056        , 1.32145e-05      ,          0.201719,          0.143056, 1.37411e-05      , -0.17457         , -0.1431          , 9.26758e-05      , -0.17457         ,          0.1431  , 9.30282e-05      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.237925 , -0.245427             ,              0.752113, -0.239484           , -0.246243             ,              0.753035,             0.880034, -0.719357             ,              0.888936, -0.883338           , -0.719943             ,              0.888925,           0,          1,          1,          1,          1, 5.27773e-05   , -1.27022e-07  ,      0.0404862, 0.00537643        , -1.21965e-05      , -0.00973476       , -0.119097         , 0.00063616        ,           10.2093 , -2.34189e-06  , -0.000630666  , 7.219e-07     , -0.119097          , 0.00063616         ,            10.2093 , -0.000250683       , -0.0866795         , 9.3663e-05         ,         3.66483,         3.66295,         6.03972,         6.043
-5.55971e-05, 1.30312e-07 ,  0.059575 ,            0,            0,         0   , -0.00518775   , 1.44868e-05   , 0.00277836    ,                0,                0,                0, -3.74509e-06, -0.00103814 , 1.05803e-06 ,            0,            0,            0, -0.000339532  , -0.090565     , 8.18586e-05   ,                0,                0,                0,      0.201684, -0.143056    , -0.0404674   ,      0.201684,      0.143056, -0.0404668   , -0.174624    , -0.143111    , -0.0404081   , -0.174624    ,      0.143111, -0.0404077   ,          0.201737, -0.143056        , 1.87556e-05      ,          0.201736,          0.143056, 1.93418e-05      , -0.174571        , -0.143111        , 7.80731e-05      , -0.174571        ,          0.143111, 7.84715e-05      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.266992 , -0.279201             ,              0.866222, -0.268821           , -0.279994             ,              0.86725 ,             0.927521, -0.769748             ,              0.998105, -0.931161           , -0.770456             ,              0.998112,           0,          1,          1,          1,          1, 6.28031e-05   , -1.48657e-07  ,      0.0404582, 0.00608652        , -1.40334e-05      , -0.00933279       , -0.0424245        , 0.000317635       ,           10.1979 , -2.93172e-06  , -0.000809096  , 8.93377e-07   , -0.0424245         , 0.000317635        ,            10.1979 , -0.000298077       , -0.0896751         , 8.55301e-05        ,         3.70147,         3.69861,         5.94026,         5.94253
-6.59196e-05, 1.668e-07   ,  0.059582 ,            0,            0,         0   , -0.00516124   , 1.82439e-05   , 0.0035367     ,                0,                0,                0, -4.47826e-06, -0.00121741 , 1.18623e-06 ,            0,            0,            0, -0.000366512  , -0.0896358    , 6.37296e-05   ,                0,                0,                0,      0.201691, -0.143056    , -0.0404321   ,      0.20169 ,      0.143056, -0.0404315   , -0.174635    , -0.143123    , -0.0403976   , -0.174635    ,      0.143123, -0.0403972   ,          0.201754, -0.143056        , 2.60787e-05      ,          0.201753,          0.143056, 2.67138e-05      , -0.174572        , -0.143123        , 6.0634e-05       , -0.174572        ,          0.143123, 6.10349e-05      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.293922 , -0.312972             ,              0.978127, -0.295868           , -0.313768             ,              0.979298,             0.960942, -0.809595             ,              1.10626 , -0.964457           , -0.810659             ,              1.10629 ,           0,          1,          1,          1,          1, 7.16448e-05   , -1.70832e-07  ,      0.0404329, 0.00665864        , -1.32045e-05      , -0.00866605       , 0.0216308         , 0.00185095        ,           10.203  , -3.57553e-06  , -0.000990478  , 1.0576e-06    , 0.0216308          , 0.00185095         ,            10.203  , -0.000339532       , -0.090565          , 8.18586e-05        ,         3.75439,         3.75147,         5.81469,         5.82273
-7.59906e-05, 2.10612e-07 ,  0.0595906,            0,            0,         0   , -0.0050355    , 2.19062e-05   , 0.00428991    ,                0,                0,                0, -5.23975e-06, -0.00139192 , 1.27485e-06 ,            0,            0,            0, -0.000380689  , -0.0872555    , 4.3886e-05    ,                0,                0,                0,      0.201698, -0.143056    , -0.0403986   ,      0.201697,      0.143056, -0.040398    , -0.174645    , -0.143134    , -0.0403919   , -0.174645    ,      0.143134, -0.0403915   ,          0.20177 , -0.143056        , 3.42262e-05      ,          0.201769,          0.143056, 3.48943e-05      , -0.174573        , -0.143134        , 4.09954e-05      , -0.174574        ,          0.143134, 4.13601e-05      ,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,                     0,        0.201666, -0.143057      , -0.0406244     ,        0.201666,        0.143057, -0.0406244     , -0.174534      , -0.143057      , -0.0406244     , -0.174534      ,        0.143057, -0.0406244     ,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0,               0, 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   , 0                   ,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,            0.318702 , -0.346846             ,              1.08665 , -0.320672           , -0.347648             ,              1.08787 ,             0.982694, -0.840533             ,              1.21385 , -0.985948           , -0.841967             ,              1.2139  ,           0,          1,          1,          1,          1, 7.92215e-05   , -1.87472e-07  ,      0.0404107, 0.00707274        , -1.26319e-05      , -0.00774798       , 0.0721482         , 0.0017924         ,           10.2049 , -4.2743e-06   , -0.00117092   , 1.18566e-06   , 0.0721482          , 0.0017924          ,            10.2049 , -0.000366512       , -0.0896358         , 6.37296e-05        ,         3.85463,         3.85441,         5.68853,         5.69816
